Suite,Success %,T_sim (s) mean,T_sim (s) sd,Roll (deg) mean,Roll (deg) sd,Pitch (deg) mean,Pitch (deg) sd
Appetitive,100.0,38.51633333333333,1.2026477825568422,0.5363533333333332,0.008631868601615486,1.06674,0.0031099410498164177
Aversive,100.0,9.983866666666668,2.0697477097999704,1.3571199999999999,0.10602729334154172,1.1135066666666666,0.07046771806216581
Obstacle,100.0,15.724714285714287,2.491023324676353,1.546514285714286,0.15428417591825647,0.9011999999999999,0.30538550110592066
Complex,100.0,24.96213333333333,10.355363974718074,1.0343266666666666,0.3486325562664636,1.0114400000000001,0.13237320373348477
