time_s,row,state
35.815,Stuck,0
35.957,Stuck,0
36.098,Stuck,0
36.24,Stuck,0
36.381,Stuck,0
36.523,Stuck,0
36.665,Stuck,0
36.806,Stuck,0
36.948,Stuck,0
37.09,Stuck,0
37.231,Stuck,0
37.373,Stuck,0
37.514,Stuck,0
37.656,Stuck,0
37.798,Stuck,0
37.939,Stuck,0
38.081,Stuck,0
38.222,Stuck,0
38.364,Stuck,0
38.506,Stuck,0
38.647,Stuck,0
38.789,Stuck,0
38.93,Stuck,0
39.072,Stuck,0
39.214,Stuck,0
39.355,Stuck,0
39.497,Stuck,0
39.639,Stuck,0
39.78,Stuck,0
39.922,Stuck,0
40.063,Stuck,0
40.205,Stuck,0
40.347,Stuck,0
40.488,Stuck,0
40.63,Stuck,0
40.771,Stuck,0
40.913,Stuck,0
41.055,Stuck,0
41.196,Stuck,0
41.338,Stuck,0
41.48,Stuck,0
41.621,Stuck,0
41.763,Stuck,0
41.904,Stuck,0
42.046,Stuck,0
42.188,Stuck,0
42.329,Stuck,0
42.471,Stuck,0
42.612,Stuck,0
42.754,Stuck,0
42.896,Stuck,0
43.037,Stuck,0
43.179,Stuck,0
43.321,Stuck,0
43.462,Stuck,0
43.604,Stuck,0
43.745,Stuck,0
43.887,Stuck,0
44.029,Stuck,0
44.17,Stuck,0
44.312,Stuck,0
44.453,Stuck,0
44.595,Stuck,0
44.737,Stuck,0
44.878,Stuck,0
45.02,Stuck,1
45.162,Stuck,1
45.303,Stuck,1
45.445,Stuck,1
45.586,Stuck,1
45.728,Stuck,1
45.87,Stuck,1
46.011,Stuck,1
46.153,Stuck,1
46.294,Stuck,1
46.436,Stuck,1
46.578,Stuck,1
46.719,Stuck,1
46.861,Stuck,1
47.002,Stuck,1
47.144,Stuck,1
47.286,Stuck,1
47.427,Stuck,1
47.569,Stuck,1
47.711,Stuck,1
47.852,Stuck,1
47.994,Stuck,1
48.135,Stuck,1
48.277,Stuck,1
48.419,Stuck,1
48.56,Stuck,1
48.702,Stuck,1
48.843,Stuck,0
48.985,Stuck,0
49.127,Stuck,0
49.268,Stuck,0
49.41,Stuck,0
49.552,Stuck,0
49.693,Stuck,0
49.835,Stuck,0
49.976,Stuck,0
50.118,Stuck,1
50.26,Stuck,1
50.401,Stuck,1
50.543,Stuck,1
50.684,Stuck,1
50.826,Stuck,1
50.968,Stuck,1
51.109,Stuck,0
51.251,Stuck,0
51.393,Stuck,0
51.534,Stuck,0
51.676,Stuck,0
51.817,Stuck,0
51.959,Stuck,0
52.101,Stuck,0
52.242,Stuck,0
52.384,Stuck,0
52.525,Stuck,0
52.667,Stuck,0
52.809,Stuck,0
52.95,Stuck,1
53.092,Stuck,1
53.234,Stuck,1
53.375,Stuck,1
53.517,Stuck,1
53.658,Stuck,1
53.8,Stuck,1
53.942,Stuck,0
54.083,Stuck,0
54.225,Stuck,0
54.366,Stuck,0
54.508,Stuck,0
54.65,Stuck,0
54.791,Stuck,0
54.933,Stuck,0
55.075,Stuck,0
55.216,Stuck,0
55.358,Stuck,0
55.499,Stuck,0
55.641,Stuck,0
55.783,Stuck,0
55.924,Stuck,0
56.066,Stuck,0
56.207,Stuck,0
56.349,Stuck,0
56.491,Stuck,0
56.632,Stuck,0
56.774,Stuck,0
56.915,Stuck,0
57.057,Stuck,0
57.199,Stuck,0
57.34,Stuck,0
57.482,Stuck,0
57.624,Stuck,0
57.765,Stuck,0
57.907,Stuck,0
58.048,Stuck,0
58.19,Stuck,0
58.332,Stuck,0
58.473,Stuck,0
58.615,Stuck,0
58.756,Stuck,0
58.898,Stuck,0
59.04,Stuck,0
59.181,Stuck,0
59.323,Stuck,0
59.465,Stuck,0
59.606,Stuck,0
59.748,Stuck,0
59.889,Stuck,0
60.031,Stuck,0
60.173,Stuck,0
60.314,Stuck,0
60.456,Stuck,0
60.597,Stuck,0
60.739,Stuck,0
60.881,Stuck,0
61.022,Stuck,0
61.164,Stuck,0
61.306,Stuck,0
61.447,Stuck,0
61.589,Stuck,0
61.73,Stuck,0
61.872,Stuck,0
62.014,Stuck,0
62.155,Stuck,0
62.297,Stuck,0
62.438,Stuck,0
62.58,Stuck,0
62.722,Stuck,0
62.863,Stuck,0
63.005,Stuck,0
63.147,Stuck,0
63.288,Stuck,0
63.43,Stuck,0
63.571,Stuck,0
63.713,Stuck,0
63.855,Stuck,0
63.996,Stuck,0
64.138,Stuck,0
64.279,Stuck,0
64.421,Stuck,0
64.563,Stuck,0
64.704,Stuck,0
64.846,Stuck,0
64.988,Stuck,0
65.129,Stuck,0
65.271,Stuck,0
65.412,Stuck,0
65.554,Stuck,0
65.696,Stuck,0
65.837,Stuck,0
65.979,Stuck,0
66.12,Stuck,0
66.262,Stuck,0
66.404,Stuck,0
66.545,Stuck,0
66.687,Stuck,0
66.828,Stuck,0
66.97,Stuck,0
67.112,Stuck,0
67.253,Stuck,0
67.395,Stuck,0
67.537,Stuck,0
67.678,Stuck,0
67.82,Stuck,0
67.961,Stuck,0
68.103,Stuck,0
68.245,Stuck,0
68.386,Stuck,0
68.528,Stuck,0
68.669,Stuck,0
68.811,Stuck,0
68.953,Stuck,0
69.094,Stuck,0
69.236,Stuck,0
69.378,Stuck,0
69.519,Stuck,0
69.661,Stuck,0
69.802,Stuck,0
69.944,Stuck,0
70.086,Stuck,0
70.227,Stuck,0
70.369,Stuck,0
70.51,Stuck,0
70.652,Stuck,0
70.794,Stuck,0
70.935,Stuck,0
71.077,Stuck,0
71.219,Stuck,0
