series,time_s,value
std_accel_z,24.993,2.9669
std_accel_z,25.132,2.1499
std_accel_z,25.271,2.2889
std_accel_z,25.409,3.471
std_accel_z,25.548,3.6275
std_accel_z,25.687,3.784
std_accel_z,25.825,3.5753
std_accel_z,25.964,3.2277
std_accel_z,26.103,2.5323
std_accel_z,26.241,2.8626
std_accel_z,26.38,3.2277
std_accel_z,26.519,3.4363
std_accel_z,26.657,3.4363
std_accel_z,26.796,3.558
std_accel_z,26.935,3.0712
std_accel_z,27.073,2.9147
std_accel_z,27.212,2.8974
std_accel_z,27.351,3.1875
std_accel_z,27.489,3.1581
std_accel_z,27.628,3.3667
std_accel_z,27.767,3.4189
std_accel_z,27.905,3.1929
std_accel_z,28.044,3.0191
std_accel_z,28.183,2.9843
std_accel_z,28.321,2.2715
std_accel_z,28.46,1.4545
std_accel_z,28.599,1.4023
std_accel_z,28.737,1.8335
std_accel_z,28.876,2.202
std_accel_z,29.015,2.4801
std_accel_z,29.153,2.5323
std_accel_z,29.292,3.0017
std_accel_z,29.431,3.1929
std_accel_z,29.569,3.1929
std_accel_z,29.708,2.9147
std_accel_z,29.847,3.4189
std_accel_z,29.985,3.6101
std_accel_z,30.124,3.7144
std_accel_z,30.263,3.5232
std_accel_z,30.402,3.558
std_accel_z,30.54,3.5753
std_accel_z,30.679,3.5753
std_accel_z,30.818,3.5753
std_accel_z,30.956,3.5753
std_accel_z,31.095,3.5753
std_accel_z,31.234,3.5753
std_accel_z,31.372,3.5753
std_accel_z,31.511,3.5753
std_accel_z,31.65,3.5753
std_accel_z,31.788,3.5753
std_accel_z,31.927,3.5753
std_accel_z,32.066,3.5753
std_accel_z,32.204,3.5753
std_accel_z,32.343,3.5753
std_accel_z,32.482,3.5753
std_accel_z,32.62,3.5406
std_accel_z,32.759,3.5406
std_accel_z,32.898,3.5927
std_accel_z,33.036,3.697
std_accel_z,33.175,3.6623
std_accel_z,33.314,3.1755
std_accel_z,33.452,2.654
std_accel_z,33.591,2.5497
std_accel_z,33.73,2.5323
std_accel_z,33.868,2.4975
std_accel_z,34.007,1.4204
std_accel_z,34.146,0.7591
std_accel_z,34.284,0.7591
std_accel_z,34.423,1.1763
std_accel_z,34.978,1.2633
std_accel_z,35.116,1.524
std_accel_z,35.255,1.5588
std_accel_z,35.394,2.8626
std_accel_z,35.532,3.9752
std_accel_z,35.671,4.149
std_accel_z,35.81,4.2186
std_accel_z,35.948,2.9872
std_accel_z,36.087,2.4106
std_accel_z,36.226,1.8369
std_accel_z,36.364,1.976
std_accel_z,36.503,1.976
std_accel_z,36.642,2.4801
std_accel_z,36.78,2.8626
std_accel_z,36.919,3.3146
std_accel_z,37.058,3.332
std_accel_z,37.196,2.9669
std_accel_z,37.335,2.428
std_accel_z,37.751,1.2806
std_accel_z,37.89,1.4893
std_accel_z,38.028,2.4432
std_accel_z,38.167,3.2624
std_accel_z,38.306,3.2972
std_accel_z,38.444,3.471
std_accel_z,38.583,3.697
std_accel_z,38.722,3.697
std_accel_z,39.415,3.697
std_accel_z,39.554,3.697
std_accel_z,39.692,3.697
std_accel_z,39.831,3.697
std_accel_z,39.97,3.697
std_accel_z,40.108,3.697
std_accel_z,40.247,3.697
std_accel_z,40.386,3.697
std_accel_z,40.524,3.697
std_accel_z,40.663,3.697
std_accel_z,40.802,3.4537
std_accel_z,40.94,3.0191
std_accel_z,41.079,2.4975
std_accel_z,41.772,3.471
std_accel_z,41.911,3.8187
std_accel_z,42.05,4.4793
std_accel_z,42.188,4.858
std_accel_z,42.327,4.9139
std_accel_z,42.466,4.6112
std_accel_z,42.604,3.471
std_accel_z,42.743,3.328
std_accel_z,43.159,1.6631
std_accel_z,43.298,1.75
std_accel_z,43.436,2.0629
std_accel_z,43.575,2.1499
std_accel_z,43.714,2.1499
std_accel_z,43.852,2.428
std_accel_z,43.991,2.7757
std_accel_z,44.13,2.8278
std_accel_z,44.268,2.7757
std_accel_z,44.407,2.4422
std_accel_z,44.546,2.1672
std_accel_z,44.684,2.7061
std_accel_z,44.823,3.5406
std_accel_z,44.962,3.5927
std_accel_z,45.1,3.5753
std_accel_z,45.239,3.6101
std_accel_z,45.378,2.9495
std_accel_z,45.516,1.779
std_accel_z,45.655,1.3502
std_accel_z,45.794,1.2111
std_accel_z,45.932,1.1242
std_accel_z,46.071,1.0547
std_accel_z,46.21,1.8543
std_accel_z,46.348,2.5497
std_accel_z,46.487,4.0969
std_accel_z,46.626,4.1664
std_accel_z,46.764,4.1838
std_accel_z,46.903,4.2012
std_accel_z,47.042,4.2012
std_accel_z,47.18,4.2012
std_accel_z,47.319,4.2012
std_accel_z,47.458,4.2012
std_accel_z,47.596,4.2012
std_accel_z,47.735,4.2012
std_accel_z,47.874,4.2012
std_accel_z,48.012,4.2012
std_accel_z,48.151,4.2012
std_accel_z,48.29,4.2012
std_accel_z,48.428,4.2012
std_accel_z,48.567,4.2012
std_accel_z,48.706,4.2012
std_accel_z,48.844,4.2012
std_accel_z,48.983,3.5753
std_accel_z,49.122,2.4046
std_accel_z,49.26,0.5679
std_accel_z,49.399,1.3189
std_accel_z,49.538,2.1672
std_accel_z,49.676,3.4015
std_accel_z,49.815,3.6391
std_accel_z,49.954,3.6796
std_accel_z,50.092,3.0538
std_accel_z,50.231,2.2715
std_accel_z,50.37,2.3063
std_accel_z,50.508,2.5845
std_accel_z,50.647,2.7061
std_accel_z,50.786,2.654
std_accel_z,50.924,2.7757
std_accel_z,51.063,2.8626
std_accel_z,51.202,2.6888
std_accel_z,51.34,2.2542
std_accel_z,51.479,2.2542
std_accel_z,51.618,1.9934
std_accel_z,51.756,1.8866
std_accel_z,51.895,1.6283
std_accel_z,52.034,1.7674
std_accel_z,52.172,1.9586
std_accel_z,52.311,1.9934
std_accel_z,52.45,1.8196
std_accel_z,52.588,1.6805
std_accel_z,52.727,1.9239
std_accel_z,52.866,2.1846
std_accel_z,53.004,2.4801
std_accel_z,53.143,2.4801
std_accel_z,53.282,2.3585
std_accel_z,53.42,2.1325
std_accel_z,53.559,2.0108
std_accel_z,53.698,2.3063
std_accel_z,53.836,2.4454
std_accel_z,53.975,2.3758
std_accel_z,54.114,1.976
std_accel_z,54.253,1.8022
std_accel_z,54.391,2.5323
std_accel_z,54.53,3.5927
std_accel_z,54.669,3.6275
std_accel_z,54.807,3.6449
std_accel_z,54.946,3.5753
std_accel_z,55.085,2.21
std_accel_z,55.223,1.3502
std_accel_z,55.362,1.4719
std_accel_z,55.501,1.8369
std_accel_z,55.639,1.9586
std_accel_z,55.778,1.9586
std_accel_z,55.917,1.8369
std_accel_z,56.055,1.6109
std_accel_z,56.194,1.7326
std_accel_z,56.333,2.3237
std_accel_z,56.471,3.2277
std_accel_z,56.61,3.4652
std_accel_z,56.749,3.5406
std_accel_z,56.887,3.1581
std_accel_z,57.026,2.7409
std_accel_z,57.165,2.7757
