panel,neuron,time_s,activation_normalized
Locomotion_1,X3,20.507,0.0
Locomotion_1,X3,20.647,0.0
Locomotion_1,X3,20.787,0.0
Locomotion_1,X3,20.927,0.0
Locomotion_1,X3,21.067,0.0
Locomotion_1,X3,21.207,0.0
Locomotion_1,X3,21.347,0.0
Locomotion_1,X3,21.487,0.0
Locomotion_1,X3,21.627,0.0
Locomotion_1,X3,21.767,0.0
Locomotion_1,X3,21.907,0.0
Locomotion_1,X3,22.047,0.0
Locomotion_1,X3,22.187,0.0
Locomotion_1,X3,22.327,0.0
Locomotion_1,X3,22.467,0.0
Locomotion_1,X3,22.607,0.0
Locomotion_1,X3,22.747,0.0
Locomotion_1,X3,22.887,0.0
Locomotion_1,X3,23.027,0.0
Locomotion_1,X3,23.167,0.0
Locomotion_1,X3,23.307,0.0
Locomotion_1,X3,23.447,0.0
Locomotion_1,X3,23.587,0.0
Locomotion_1,X3,23.727,0.0
Locomotion_1,X3,23.867,0.0
Locomotion_1,X3,24.007,0.0
Locomotion_1,X3,24.147,0.0
Locomotion_1,X3,24.287,0.0
Locomotion_1,X3,24.427,0.0
Locomotion_1,X3,24.567,0.0
Locomotion_1,X3,24.707,0.0
Locomotion_1,X3,24.847,0.0
Locomotion_1,X3,24.987,0.0
Locomotion_1,X3,25.127,0.0
Locomotion_1,X3,25.267,0.0
Locomotion_1,X3,25.407,0.0
Locomotion_1,X3,25.547,0.0
Locomotion_1,X3,25.687,0.0
Locomotion_1,X3,25.827,0.0
Locomotion_1,X3,25.967,0.0
Locomotion_1,X3,26.107,0.0
Locomotion_1,X3,26.247,0.0
Locomotion_1,X3,26.387,0.0
Locomotion_1,X3,26.527,0.0
Locomotion_1,X3,26.667,0.0
Locomotion_1,X3,26.807,0.0
Locomotion_1,X3,26.947,0.0
Locomotion_1,X3,27.087,0.0
Locomotion_1,X3,27.227,0.0
Locomotion_1,X3,27.367,0.0
Locomotion_1,X3,27.507,0.0
Locomotion_1,X3,27.647,0.0
Locomotion_1,X3,27.787,0.0
Locomotion_1,X3,27.927,0.0
Locomotion_1,X3,28.067,0.0
Locomotion_1,X3,28.207,0.0
Locomotion_1,X3,28.347,0.0
Locomotion_1,X3,28.487,0.0
Locomotion_1,X3,28.627,0.0
Locomotion_1,X3,28.767,0.0
Locomotion_1,X3,28.907,0.0
Locomotion_1,X3,29.047,0.0
Locomotion_1,X3,29.187,0.0
Locomotion_1,X3,29.327,0.0
Locomotion_1,X3,29.467,0.0
Locomotion_1,X3,29.607,0.0
Locomotion_1,X3,29.747,0.0
Locomotion_1,X3,29.887,0.0
Locomotion_1,X3,30.027,0.0
Locomotion_1,X3,30.167,0.0
Locomotion_1,X3,30.307,0.0
Locomotion_1,X3,30.447,0.0
Locomotion_1,X3,30.587,0.0
Locomotion_1,X3,30.727,0.0
Locomotion_1,X3,30.867,0.0
Locomotion_1,X3,31.007,0.0
Locomotion_1,X3,31.147,0.0
Locomotion_1,X3,31.287,0.0
Locomotion_1,X3,31.427,0.0
Locomotion_1,X3,31.567,0.0
Locomotion_1,X3,31.707,0.0
Locomotion_1,X3,31.847,0.0
Locomotion_1,X3,31.987,0.0
Locomotion_1,X3,32.127,0.0
Locomotion_1,X3,32.267,0.0
Locomotion_1,X3,32.407,0.0
Locomotion_1,X3,32.547,0.0
Locomotion_1,X3,32.687,0.0
Locomotion_1,X3,32.827,0.0
Locomotion_1,X3,32.967,0.0
Locomotion_1,X3,33.107,0.0
Locomotion_1,X3,33.247,0.0
Locomotion_1,X3,33.387,0.0
Locomotion_1,X3,33.527,0.0
Locomotion_1,X3,33.667,0.0
Locomotion_1,X3,33.807,0.0
Locomotion_1,X3,33.947,0.0
Locomotion_1,X3,34.087,0.0
Locomotion_1,X3,34.227,0.0
Locomotion_1,X3,34.367,0.0
Locomotion_1,X3,34.507,0.0
Locomotion_1,X3,34.647,0.0
Locomotion_1,X3,34.787,0.0
Locomotion_1,X3,34.927,0.0
Locomotion_1,X3,35.067,0.0
Locomotion_1,X3,35.207,0.0
Locomotion_1,X3,35.347,0.0
Locomotion_1,X3,35.487,0.0
Locomotion_1,X3,35.627,0.0
Locomotion_1,X3,35.767,0.0
Locomotion_1,X3,35.907,0.0
Locomotion_1,X3,36.047,0.0
Locomotion_1,X3,36.187,0.0
Locomotion_1,X3,36.327,0.0
Locomotion_1,X3,36.467,0.0
Locomotion_1,X3,36.607,0.0
Locomotion_1,X3,36.747,0.0
Locomotion_1,X3,36.887,0.0
Locomotion_1,X3,37.027,0.0
Locomotion_1,X3,37.167,0.0
Locomotion_1,X3,37.307,0.0
Locomotion_1,X3,37.447,0.0
Locomotion_1,X3,37.587,0.0
Locomotion_1,X3,37.727,0.0
Locomotion_1,X3,37.867,0.0
Locomotion_1,X3,38.007,0.0
Locomotion_1,X3,38.147,0.0
Locomotion_1,X3,38.287,0.0
Locomotion_1,X3,38.427,0.0
Locomotion_1,X3,38.567,0.0
Locomotion_1,X3,38.707,0.0
Locomotion_1,X3,38.847,0.0
Locomotion_1,X3,38.987,0.0
Locomotion_1,X3,39.127,0.0
Locomotion_1,X3,39.267,0.0
Locomotion_1,X3,39.407,0.0
Locomotion_1,X3,39.547,0.0
Locomotion_1,X3,39.687,0.0
Locomotion_1,X3,39.827,0.0
Locomotion_1,X3,39.967,0.0
Locomotion_1,X3,40.107,0.0
Locomotion_1,X3,40.247,0.0
Locomotion_1,X3,40.387,0.0
Locomotion_1,X3,40.527,0.0
Locomotion_1,X3,40.667,0.0
Locomotion_1,X3,40.807,0.0
Locomotion_1,X3,40.947,0.0
Locomotion_1,X3,41.087,0.0
Locomotion_1,X3,41.227,0.0
Locomotion_1,X3,41.367,0.0
Locomotion_1,X3,41.507,0.0
Locomotion_1,X3,41.647,0.0
Locomotion_1,X3,41.787,0.0
Locomotion_1,X3,41.927,0.0
Locomotion_1,X3,42.067,0.0
Locomotion_1,X3,42.207,0.0
Locomotion_1,X3,42.347,0.0
Locomotion_1,X3,42.487,0.0
Locomotion_1,X3,42.627,0.0
Locomotion_1,X3,42.767,0.0
Locomotion_1,X3,42.907,0.0
Locomotion_1,X3,43.047,0.0
Locomotion_1,X3,43.187,0.0
Locomotion_1,X3,43.327,0.0
Locomotion_1,X3,43.467,0.0
Locomotion_1,X3,43.607,0.0
Locomotion_1,X3,43.747,0.0
Locomotion_1,X3,43.887,0.0
Locomotion_1,X3,44.027,0.0
Locomotion_1,X3,44.167,0.0
Locomotion_1,X3,44.307,0.0
Locomotion_1,X3,44.447,0.0
Locomotion_1,X3,44.587,0.0
Locomotion_1,X3,44.727,0.0
Locomotion_1,X3,44.867,0.0
Locomotion_1,X3,45.007,0.0
Locomotion_1,X3,45.147,0.0
Locomotion_1,X3,45.287,0.0
Locomotion_1,X3,45.427,0.0
Locomotion_1,X3,45.567,0.0
Locomotion_1,X3,45.707,0.0
Locomotion_1,X3,45.847,0.0
Locomotion_1,X3,45.987,0.0
Locomotion_1,X3,46.127,0.0
Locomotion_1,X3,46.267,0.0
Locomotion_1,X3,46.407,0.0
Locomotion_1,X3,46.547,0.0
Locomotion_1,X3,46.687,0.0
Locomotion_1,X3,46.827,0.0
Locomotion_1,X3,46.967,0.0
Locomotion_1,X3,47.107,0.0
Locomotion_1,X3,47.247,0.0
Locomotion_1,X3,47.387,0.0
Locomotion_1,X3,47.527,0.0
Locomotion_1,X3,47.667,0.0
Locomotion_1,X3,47.807,0.0
Locomotion_1,X3,47.947,0.0
Locomotion_1,X3,48.087,0.0
Locomotion_1,X3,48.227,0.0
Locomotion_1,X3,48.367,0.0
Locomotion_1,X3,48.507,0.0
Locomotion_1,X3,48.647,0.0
Locomotion_1,X3,48.787,0.0
Locomotion_1,X3,48.927,0.0
Locomotion_1,X3,49.067,0.0
Locomotion_1,X3,49.207,0.0
Locomotion_1,X3,49.347,0.0
Locomotion_1,X3,49.487,0.0
Locomotion_1,X3,49.627,0.0
Locomotion_1,X3,49.767,0.0
Locomotion_1,X3,49.907,0.0
Locomotion_1,X3,50.047,0.0
Locomotion_1,X3,50.187,0.0
Locomotion_1,X3,50.327,0.0
Locomotion_1,X3,50.467,0.0
Locomotion_1,X3,50.607,0.0
Locomotion_1,X3,50.747,0.0
Locomotion_1,X3,50.887,0.0
Locomotion_1,X3,51.027,0.0
Locomotion_1,X3,51.167,0.0
