time_s,row,state
37.79,Stuck,0
37.94,Stuck,0
38.089,Stuck,0
38.239,Stuck,0
38.388,Stuck,0
38.538,Stuck,0
38.687,Stuck,0
38.837,Stuck,0
38.986,Stuck,0
39.136,Stuck,0
39.285,Stuck,0
39.435,Stuck,0
39.584,Stuck,0
39.734,Stuck,0
39.883,Stuck,0
40.033,Stuck,0
40.182,Stuck,0
40.332,Stuck,0
40.481,Stuck,0
40.631,Stuck,0
40.78,Stuck,0
40.93,Stuck,0
41.079,Stuck,0
41.229,Stuck,0
41.378,Stuck,0
41.528,Stuck,0
41.677,Stuck,0
41.827,Stuck,0
41.976,Stuck,0
42.126,Stuck,0
42.275,Stuck,0
42.425,Stuck,0
42.574,Stuck,0
42.724,Stuck,1
42.873,Stuck,1
43.023,Stuck,1
43.172,Stuck,1
43.322,Stuck,1
43.471,Stuck,1
43.621,Stuck,0
43.77,Stuck,0
43.92,Stuck,0
44.069,Stuck,0
44.219,Stuck,0
44.369,Stuck,0
44.518,Stuck,0
44.668,Stuck,1
44.817,Stuck,1
44.967,Stuck,1
45.116,Stuck,1
45.266,Stuck,1
45.415,Stuck,1
45.565,Stuck,1
45.714,Stuck,0
45.864,Stuck,0
46.013,Stuck,0
46.163,Stuck,0
46.312,Stuck,0
46.462,Stuck,0
46.611,Stuck,0
46.761,Stuck,0
46.91,Stuck,0
47.06,Stuck,0
47.209,Stuck,0
47.359,Stuck,0
47.508,Stuck,0
47.658,Stuck,0
47.807,Stuck,1
47.957,Stuck,1
48.106,Stuck,1
48.256,Stuck,1
48.405,Stuck,1
48.555,Stuck,1
48.704,Stuck,0
48.854,Stuck,0
49.003,Stuck,0
49.153,Stuck,0
49.302,Stuck,0
49.452,Stuck,0
49.601,Stuck,0
49.751,Stuck,0
49.9,Stuck,1
50.05,Stuck,1
50.199,Stuck,1
50.349,Stuck,1
50.498,Stuck,1
50.648,Stuck,1
50.797,Stuck,0
50.947,Stuck,0
51.096,Stuck,0
51.246,Stuck,0
51.395,Stuck,0
51.545,Stuck,0
51.694,Stuck,0
51.844,Stuck,0
