epoch,loss
33.13,0.0135
33.23,0.0135
33.32,0.0135
33.41,0.0128
33.51,0.0122
33.6,0.0122
33.69,0.0122
33.79,0.0122
33.88,0.0122
33.97,0.0122
34.07,0.0122
34.16,0.0122
34.25,0.0122
34.35,0.0122
34.44,0.0115
34.53,0.0115
34.63,0.0108
34.72,0.0108
34.81,0.0108
34.91,0.0108
35.0,0.0108
35.09,0.0108
35.19,0.0108
35.28,0.0108
35.37,0.0108
35.47,0.0108
35.56,0.0108
35.65,0.0101
35.75,0.0101
35.84,0.0095
35.93,0.0095
36.03,0.0095
36.12,0.0095
36.21,0.0095
36.31,0.0095
36.4,0.0095
36.49,0.0095
36.59,0.0095
36.68,0.0095
36.77,0.0095
36.87,0.0095
36.96,0.0095
37.05,0.0088
37.15,0.0088
37.24,0.0088
37.33,0.0081
37.43,0.0081
37.52,0.0081
37.61,0.0081
37.71,0.0081
37.8,0.0081
37.89,0.0081
37.99,0.0081
38.08,0.0081
38.17,0.0081
38.27,0.0081
38.36,0.0081
38.45,0.0081
38.55,0.0081
38.64,0.0081
38.73,0.0081
38.82,0.0081
38.92,0.0081
39.01,0.0074
39.1,0.0074
39.2,0.0074
39.29,0.0068
39.38,0.0068
39.48,0.0068
39.57,0.0068
39.66,0.0068
39.76,0.0068
39.85,0.0068
39.94,0.0068
40.04,0.0068
40.13,0.0068
40.22,0.0068
40.32,0.0068
40.41,0.0068
40.5,0.0068
40.6,0.0068
40.69,0.0068
40.78,0.0068
40.88,0.0068
40.97,0.0068
41.06,0.0068
41.16,0.0068
41.25,0.0061
41.34,0.0061
41.44,0.0061
41.53,0.0061
41.62,0.0061
41.72,0.0054
41.81,0.0054
41.9,0.0054
42.0,0.0054
42.09,0.0054
42.18,0.0054
42.28,0.0054
42.37,0.0054
42.46,0.0054
42.56,0.0054
42.65,0.0054
42.74,0.0054
42.84,0.0054
42.93,0.0054
43.02,0.0054
43.12,0.0054
43.21,0.0054
43.3,0.0054
43.4,0.0054
43.49,0.0054
43.58,0.0054
43.68,0.0054
43.77,0.0054
43.86,0.0054
43.96,0.0054
44.05,0.0054
44.14,0.0054
44.24,0.0054
44.33,0.0054
44.42,0.0047
44.52,0.0047
44.61,0.0047
44.7,0.0047
44.8,0.0047
44.89,0.0047
44.98,0.0047
45.08,0.0041
45.17,0.0041
45.26,0.0041
45.36,0.0041
45.45,0.0041
45.54,0.0041
45.64,0.0041
45.73,0.0041
45.82,0.0041
45.92,0.0041
46.01,0.0041
46.1,0.0041
46.2,0.0041
46.29,0.0041
46.38,0.0041
46.47,0.0041
46.57,0.0041
46.66,0.0041
46.75,0.0041
46.85,0.0041
46.94,0.0041
47.03,0.0041
47.13,0.0041
47.22,0.0041
47.31,0.0041
47.41,0.0041
47.5,0.0041
47.59,0.0041
47.69,0.0041
47.78,0.0041
47.87,0.0041
47.97,0.0041
48.06,0.0041
48.15,0.0041
48.25,0.0041
48.34,0.0041
48.43,0.0041
48.53,0.0041
48.62,0.0041
48.71,0.0041
48.81,0.0041
48.9,0.0041
48.99,0.0041
49.09,0.0034
49.18,0.0034
49.27,0.0034
49.37,0.0034
49.46,0.0034
49.55,0.0034
49.65,0.0034
49.74,0.0034
49.83,0.0034
49.93,0.0034
50.02,0.0027
50.11,0.0027
50.21,0.0027
50.3,0.0027
50.39,0.0027
50.49,0.0027
50.58,0.0027
50.67,0.0027
50.77,0.0027
50.86,0.0027
50.95,0.0027
51.05,0.0027
51.14,0.0027
51.23,0.0027
51.33,0.0027
51.42,0.0027
51.51,0.0027
51.61,0.0027
51.7,0.0027
51.79,0.0027
51.89,0.0027
51.98,0.0027
52.07,0.0027
52.17,0.0027
52.26,0.0027
52.35,0.0027
52.45,0.0027
52.54,0.0027
52.63,0.0027
52.73,0.0027
52.82,0.0027
52.91,0.0027
53.01,0.0027
53.1,0.0027
53.19,0.0027
53.29,0.0027
53.38,0.0027
53.47,0.0027
53.57,0.0027
53.66,0.0027
53.75,0.0027
53.84,0.0027
53.94,0.0027
54.03,0.0027
54.12,0.0027
54.22,0.0027
54.31,0.0027
54.4,0.0027
54.5,0.0027
54.59,0.0027
54.68,0.0027
54.78,0.0027
54.87,0.0027
54.96,0.0027
55.06,0.0027
55.15,0.0027
55.24,0.0027
55.34,0.0027
55.43,0.0027
55.52,0.0027
55.62,0.0027
55.71,0.0027
55.8,0.0027
55.9,0.0027
55.99,0.0027
56.08,0.0027
56.18,0.0027
56.27,0.0027
56.36,0.0027
56.46,0.0027
56.55,0.0027
56.64,0.0027
56.74,0.0027
56.83,0.0027
56.92,0.0027
57.02,0.0027
57.11,0.002
57.2,0.002
57.3,0.002
57.39,0.002
57.48,0.002
57.58,0.002
57.67,0.002
57.76,0.002
57.86,0.002
57.95,0.002
58.04,0.002
58.14,0.002
58.23,0.002
58.32,0.002
58.42,0.002
58.51,0.002
58.6,0.002
58.7,0.002
58.79,0.002
58.88,0.0014
58.98,0.0014
59.07,0.0014
59.16,0.0014
59.26,0.0014
59.35,0.0014
59.44,0.0014
59.54,0.0014
59.63,0.0014
59.72,0.0014
59.82,0.0014
59.91,0.0014
60.0,0.0014
60.1,0.0014
60.19,0.0014
60.28,0.0014
60.38,0.0014
60.47,0.0014
60.56,0.0014
60.66,0.0014
60.75,0.0014
60.84,0.0014
60.94,0.0014
61.03,0.0014
61.12,0.0014
61.21,0.0014
61.31,0.0014
61.4,0.0014
61.49,0.0014
61.59,0.0014
61.68,0.0014
61.77,0.0014
61.87,0.0014
61.96,0.0014
62.05,0.0014
62.15,0.0014
62.24,0.0014
62.33,0.0014
62.43,0.0014
62.52,0.0014
62.61,0.0014
62.71,0.0014
62.8,0.0014
62.89,0.0014
62.99,0.0014
63.08,0.0014
63.17,0.0014
63.27,0.0014
63.36,0.0014
63.45,0.0014
63.55,0.0014
63.64,0.0014
63.73,0.0014
63.83,0.0014
63.92,0.0014
64.01,0.0014
64.11,0.0014
64.2,0.0014
64.29,0.0014
64.39,0.0014
64.48,0.0014
64.57,0.0014
64.67,0.0014
64.76,0.0014
64.85,0.0014
64.95,0.0014
65.04,0.0014
65.13,0.0014
65.23,0.0014
65.32,0.0014
65.41,0.0014
65.51,0.0014
65.6,0.0014
65.69,0.0014
65.79,0.0014
65.88,0.0014
65.97,0.0014
66.07,0.0014
66.16,0.0014
66.25,0.0014
66.35,0.0014
66.44,0.0014
66.53,0.0014
66.63,0.0014
66.72,0.0014
66.81,0.0014
66.91,0.0014
67.0,0.0014
67.09,0.0014
67.19,0.0014
67.28,0.0014
67.37,0.0014
67.47,0.0014
67.56,0.0014
67.65,0.0014
67.75,0.0014
67.84,0.0014
67.93,0.0014
68.03,0.0014
68.12,0.0014
68.21,0.0014
68.31,0.0014
68.4,0.0014
68.49,0.0014
68.59,0.0014
68.68,0.0014
68.77,0.0014
68.86,0.0014
68.96,0.0014
69.05,0.0014
69.14,0.0014
69.24,0.0014
69.33,0.0014
69.42,0.0014
69.52,0.0014
69.61,0.0014
69.7,0.0014
69.8,0.0014
69.89,0.0014
69.98,0.0014
70.08,0.0014
70.17,0.0014
70.26,0.0014
70.36,0.0014
70.45,0.0014
70.54,0.0014
70.64,0.0014
70.73,0.0014
70.82,0.0014
70.92,0.0014
71.01,0.0014
71.1,0.0014
71.2,0.0014
