fpr,tpr
0.4866,0.9497
0.4881,0.9497
0.4896,0.9497
0.491,0.9497
0.4925,0.9497
0.494,0.9497
0.4955,0.9497
0.497,0.9497
0.4985,0.9497
0.5,0.9497
0.5015,0.9497
0.503,0.9497
0.5045,0.9497
0.506,0.9505
0.5075,0.9583
0.509,0.9583
0.5104,0.9583
0.5119,0.9583
0.5134,0.966
0.5149,0.9668
0.5164,0.9668
0.5179,0.9668
0.5194,0.9668
0.5209,0.9668
0.5224,0.9668
0.5239,0.9668
0.5254,0.9668
0.5269,0.9668
0.5284,0.9668
0.5299,0.9668
0.5313,0.9668
0.5328,0.9668
0.5343,0.9668
0.5358,0.9668
0.5373,0.9668
0.5388,0.9668
0.5403,0.9668
0.5418,0.9668
0.5433,0.9668
0.5448,0.9668
0.5463,0.9668
0.5478,0.9668
0.5493,0.9668
0.5507,0.9668
0.5522,0.9668
0.5537,0.9668
0.5552,0.9668
0.5567,0.9676
0.5582,0.9754
0.5597,0.9754
0.5612,0.9754
0.5627,0.9754
0.5642,0.9831
0.5657,0.9839
0.5672,0.9839
0.5687,0.9839
0.5701,0.9839
0.5716,0.9839
0.5731,0.9839
0.5746,0.9839
0.5761,0.9839
0.5776,0.9839
0.5791,0.9839
0.5806,0.9839
0.5821,0.9839
0.5836,0.9839
0.5851,0.9839
0.5866,0.9839
0.5881,0.9839
0.5896,0.9839
0.591,0.9847
0.5925,0.9917
0.594,0.9917
0.5955,0.9917
0.597,0.9917
0.5985,0.9987
0.6,0.9994
0.6015,0.9994
0.603,0.9994
0.6045,0.9994
0.606,0.9994
0.6075,0.9994
0.609,0.9994
0.6104,0.9994
0.6119,0.9994
0.6134,0.9994
0.6149,0.9994
0.6164,0.9994
0.6179,0.9994
0.6194,0.9994
0.6209,0.9994
0.6224,0.9994
0.6239,0.9994
0.6254,0.9994
0.6269,0.9994
0.6284,0.9994
0.6299,0.9994
0.6313,0.9994
0.6328,0.9994
0.6343,0.9994
0.6358,0.9994
0.6373,0.9994
0.6388,0.9994
0.6403,0.9994
0.6418,0.9994
0.6433,0.9994
0.6448,0.9994
0.6463,0.9994
0.6478,0.9994
0.6493,0.9994
0.6507,0.9994
0.6522,0.9994
0.6537,0.9994
0.6552,0.9994
0.6567,0.9994
0.6582,0.9994
0.6597,0.9994
0.6612,0.9994
0.6627,0.9994
0.6642,0.9994
0.6657,0.9994
0.6672,0.9994
0.6687,0.9994
0.6701,0.9994
0.6716,0.9994
0.6731,0.9994
0.6746,0.9994
0.6761,0.9994
0.6776,0.9994
0.6791,0.9994
0.6806,0.9994
0.6821,0.9994
0.6836,0.9994
0.6851,0.9994
0.6866,0.9994
0.6881,0.9994
0.6896,0.9994
0.691,0.9994
0.6925,0.9994
0.694,0.9994
0.6955,0.9994
0.697,0.9994
0.6985,0.9994
0.7,0.9994
0.7015,0.9994
0.703,0.9994
0.7045,0.9994
0.706,0.9994
0.7075,0.9994
0.709,0.9994
0.7104,0.9994
0.7119,0.9994
0.7134,0.9994
0.7149,0.9994
0.7164,0.9994
0.7179,0.9994
0.7194,0.9994
0.7209,0.9994
0.7224,0.9994
0.7239,0.9994
0.7254,0.9994
0.7269,0.9994
0.7284,0.9994
0.7299,0.9994
0.7313,0.9994
0.7328,0.9994
0.7343,0.9994
0.7358,0.9994
0.7373,0.9994
0.7388,0.9994
0.7403,0.9994
0.7418,0.9994
0.7433,0.9994
0.7448,0.9994
0.7463,0.9994
0.7478,0.9994
0.7493,0.9994
0.7507,0.9994
0.7522,0.9994
0.7537,0.9994
0.7552,0.9994
0.7567,0.9994
0.7582,0.9994
0.7597,0.9994
0.7612,0.9994
0.7627,0.9994
0.7642,0.9994
0.7657,0.9994
0.7672,0.9994
0.7687,0.9994
0.7701,0.9994
0.7716,0.9994
0.7731,0.9994
0.7746,0.9994
0.7761,0.9994
0.7776,0.9994
0.7791,0.9994
0.7806,0.9994
0.7821,0.9994
0.7836,0.9994
0.7851,0.9994
0.7866,0.9994
0.7881,0.9994
0.7896,0.9994
0.791,0.9994
0.7925,0.9994
0.794,0.9994
0.7955,0.9994
0.797,0.9994
0.7985,0.9994
0.8,0.9994
0.8015,0.9994
0.803,0.9994
0.8045,0.9994
0.806,0.9994
0.8075,0.9994
0.809,0.9994
0.8104,0.9994
0.8119,0.9994
0.8134,0.9994
0.8149,0.9994
0.8164,0.9994
0.8179,0.9994
0.8194,0.9994
0.8209,0.9994
0.8224,0.9994
0.8239,0.9994
0.8254,0.9994
0.8269,0.9994
0.8284,0.9994
0.8299,0.9994
0.8313,0.9994
0.8328,0.9994
0.8343,0.9994
0.8358,0.9994
0.8373,0.9994
0.8388,0.9994
0.8403,0.9994
0.8418,0.9994
0.8433,0.9994
0.8448,0.9994
0.8463,0.9994
0.8478,0.9994
0.8493,0.9994
0.8507,0.9994
0.8522,0.9994
0.8537,0.9994
0.8552,0.9994
0.8567,0.9994
0.8582,0.9994
0.8597,0.9994
0.8612,0.9994
0.8627,0.9994
0.8642,0.9994
0.8657,0.9994
0.8672,0.9994
0.8687,0.9994
